team,venue,city,capacity
Atlanta Dream,Gateway Center Arena,Atlanta,8500
Chicago Sky,Wintrust Arena,Chicago,10000
Connecticut Sun,Mohegan Sun Arena,Connecticut,10000
Dallas Wings,College Park Center,Dallas,7000
Indiana Fever,Gainbridge Fieldhouse,Indiana,20000
Las Vegas Aces,Michelob ULTRA Arena,Las Vegas,12000
Los Angeles Sparks,Crypto.com Arena,Los Angeles,19000
Minnesota Lynx,Target Center,Minnesota,18000
New York Liberty,Barclays Center,New York,17000
Phoenix Mercury,Footprint Center,Phoenix,14000
Seattle Storm,Climate Pledge Arena,Seattle,18000
Washington Mystics,Entertainment & Sports Arena,Washington,4200
Golden State Valkyries,Chase Center,Golden State,18000
